CV,Score,Name,Men,White,Latino,Asian,African,Age,Uni Global South,Uni
80,6.93,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
81,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
82,9.17,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
83,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
84,7.67,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
85,7.5,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
86,7.67,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
87,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
88,7.5,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
89,7.5,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
90,6.93,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
91,8.77,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
92,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
93,6.77,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
94,7.1,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
95,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
96,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
97,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
98,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
99,6.77,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
100,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
