Id,FirstName,LastName,Email,AGE,Source,Created,Summary,ApplicationTitle,ApplicationStatus,ApplicationType,ApplicationSource,ApplicationCreated,Shortlisted,AiQualification,LevelTitle,AutomatedScore,ManualScore
100,José,Donoso,39@gmail.com,39,Manual Entry,29/04/2024 13:58,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:58:19,FALSE,1,Minimally Qualified,5.87,0
60,José,Donoso,40@gmail.com,40,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:49,FALSE,1,Minimally Qualified,6.2,0
85,José,Donoso,41@gmail.com,41,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:21,FALSE,1,Minimally Qualified,6.2,0
94,José,Donoso,42@gmail.com,42,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:48,FALSE,1,Minimally Qualified,5.87,0
54,José,Donoso,43@gmail.com,43,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:27,FALSE,1,Minimally Qualified,5.87,0
88,José,Donoso,44@gmail.com,44,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:28,FALSE,1,Minimally Qualified,5.87,0
76,José,Donoso,45@gmail.com,45,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:52,FALSE,1,Minimally Qualified,5.87,0
55,José,Donoso,46@gmail.com,46,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:27,FALSE,1,Minimally Qualified,5.87,0
70,José,Donoso,47@gmail.com,47,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:30,FALSE,1,Minimally Qualified,6.2,0
59,José,Donoso,48@gmail.com,48,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:46,FALSE,1,Minimally Qualified,6.2,0
69,José,Donoso,49@gmail.com,49,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:25,FALSE,1,Minimally Qualified,5.87,0
63,José,Donoso,50@gmail.com,50,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:59,FALSE,1,Minimally Qualified,5.87,0
104,José,Donoso,51@gmail.com,51,Manual Entry,29/04/2024 13:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:59:02,FALSE,1,Minimally Qualified,5.87,0
79,José,Donoso,52@gmail.com,52,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:02,FALSE,1,Minimally Qualified,6.2,0
83,José,Donoso,53@gmail.com,53,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:10,FALSE,1,Minimally Qualified,5.87,0
91,José,Donoso,54@gmail.com,54,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:40,FALSE,1,Minimally Qualified,6.2,0
51,José,Donoso,55@gmail.com,55,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:24,FALSE,1,Minimally Qualified,5.87,0
77,José,Donoso,56@gmail.com,56,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:52,FALSE,1,Minimally Qualified,6.2,0
66,José,Donoso,57@gmail.com,57,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:10,FALSE,1,Minimally Qualified,5.87,0
86,José,Donoso,58@gmail.com,58,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:26,FALSE,1,Minimally Qualified,5.87,0
99,José,Donoso,59@gmail.com,59,Manual Entry,29/04/2024 13:58,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:58:16,FALSE,1,Minimally Qualified,5.87,0
98,José,Donoso,60@gmail.com,60,Manual Entry,29/04/2024 13:47,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:47:02,FALSE,1,Minimally Qualified,5.87,0
97,José,Donoso,61@gmail.com,61,Manual Entry,29/04/2024 13:47,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:47:01,FALSE,1,Minimally Qualified,5.87,0
74,José,Donoso,62@gmail.com,62,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:43,FALSE,1,Minimally Qualified,5.87,0
57,José,Donoso,63@gmail.com,63,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:44,FALSE,1,Minimally Qualified,5.87,0
102,José,Donoso,64@gmail.com,64,Manual Entry,29/04/2024 13:58,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:58:25,FALSE,1,Minimally Qualified,5.87,0
89,José,Donoso,65@gmail.com,65,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:29,FALSE,1,Minimally Qualified,6.2,0
96,José,Donoso,66@gmail.com,66,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:53,FALSE,1,Minimally Qualified,6.2,0
82,José,Donoso,67@gmail.com,67,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:08,FALSE,1,Minimally Qualified,6.2,0
101,José,Donoso,68@gmail.com,68,Manual Entry,29/04/2024 13:58,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:58:25,FALSE,1,Minimally Qualified,5.87,0
105,José,Donoso,69@gmail.com,69,Manual Entry,29/04/2024 13:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:59:06,FALSE,1,Minimally Qualified,5.87,0
108,José,Donoso,70@gmail.com,70,Manual Entry,29/04/2024 13:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:59:59,FALSE,1,Minimally Qualified,5.87,0
109,José,Donoso,71@gmail.com,71,Manual Entry,29/04/2024 14:00,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 14:00:42,FALSE,1,Minimally Qualified,6.2,0
52,José,Donoso,72@gmail.com,72,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:25,FALSE,1,Minimally Qualified,5.87,0
107,José,Donoso,73@gmail.com,73,Manual Entry,29/04/2024 13:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:59:56,FALSE,1,Minimally Qualified,5.87,0
81,José,Donoso,74@gmail.com,74,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:07,FALSE,1,Minimally Qualified,5.87,0
72,José,Donoso,75@gmail.com,75,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:33,FALSE,1,Minimally Qualified,5.87,0
61,José,Donoso,76@gmail.com,76,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:51,FALSE,1,Minimally Qualified,5.87,0
53,José,Donoso,77@gmail.com,77,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:26,FALSE,1,Minimally Qualified,6.2,0
56,José,Donoso,78@gmail.com,78,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:29,FALSE,1,Minimally Qualified,5.87,0
110,José,Donoso,79@gmail.com,79,Manual Entry,29/04/2024 14:01,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 14:01:06,FALSE,1,Minimally Qualified,5.87,0
